Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Dryas_octopetala_Chromosome	1.001	1.010	1.005	1.011	1.019	1.028	1.024	1.035
Dryas_octopetala_Mitochondrion	-	-	1.041	1.031	1.000	0.995	1.036	1.028
Eleocharis_quinqueflora_Chloroplast	-	-	8.297	-	1.000	-	0.998	1.172
Eleocharis_quinqueflora_Chromosome	1.000	-	1.159	1.000	1.000	1.000	1.058	1.612
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	-	-	2.286	1.474
Eriophorum_vaginatum_Chromosome	0.999	-	1.154	1.867	0.994	1.189	1.179	1.415
Eriophorum_vaginatum_Mitochondrion	-	-	6.345	-	1.731	-	1.000	1.206
Hydra_vulgaris_Chromosome	1.000	-	1.000	-	-	1.000	1.000	-
Ipomoea_triloba_Chloroplast	-	-	2.716	-	1.001	-	-	1.000
Ipomoea_triloba_Chromosome	0.999	-	1.058	0.999	1.001	1.000	1.095	1.279
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	1.113	-	1.000	1.001	0.977	1.116	1.089	1.424
Matricaria_discoidea_Chloroplast	1.000	-	1.000	-	1.001	-	-	1.004
Matricaria_discoidea_Chromosome	1.001	-	1.002	-	1.000	0.999	1.195	1.178
Matricaria_discoidea_Mitochondrion	-	-	1.008	1.005	-	-	1.000	1.000
Mentha_aquatica_Chromosome	1.000	-	1.001	-	1.011	-	1.000	1.001
Mentha_aquatica_Mitochondrion	-	-	-	-	1.012	-	3.782	1.521
Myrica_gale_Chloroplast	1.000	-	1.193	1.001	1.159	-	1.083	1.001
Myrica_gale_Chromosome	-	-	1.003	1.006	1.002	-	1.001	1.101
Myrica_gale_Mitochondrion	-	-	1.286	1.002	1.002	-	1.153	1.059
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	1.005	1.011	1.040	1.004	1.028	1.033	1.003	1.057
Populus_tremula_Chloroplast	1.007	1.005	1.073	1.006	1.029	1.026	1.014	1.091
Populus_tremula_Chromosome	1.000	1.008	1.000	1.728	1.027	1.151	1.338	1.310
Populus_tremula_Mitochondrion	-	1.003	1.144	1.061	0.994	-	1.038	1.048
Populus_trichocarpa_Chloroplast	1.006	1.012	1.068	1.014	1.026	1.030	1.026	1.018
Populus_trichocarpa_Chromosome	1.010	1.044	1.037	1.089	1.078	1.062	1.094	1.176
Salix_caprea_Chloroplast	1.013	1.030	1.030	1.020	1.037	1.050	1.046	1.015
Salix_caprea_Chromosome	1.046	1.011	1.014	1.022	1.003	1.070	1.038	1.051
Salix_caprea_Mitochondrion	-	-	1.141	1.078	1.000	1.000	1.022	1.028
Salix_reticulata_Chloroplast	1.013	1.033	1.035	1.017	1.032	1.045	1.031	1.011
Salix_reticulata_Chromosome	1.041	1.003	1.014	1.013	1.074	1.051	1.035	1.043
Salix_reticulata_Mitochondrion	-	-	1.152	1.072	1.000	1.000	1.020	1.024
Scirpus_sylvaticus_Chromosome	0.999	-	1.206	1.614	1.554	1.159	1.197	1.259
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	1.000	-	2.123	1.446
Solanum_tuberosum_Chloroplast	-	-	1.869	-	1.263	5.417	-	1.000
Trifolium_pratense_Mitochondrion	-	-	1.000	0.994	-	-	1.451	1.001
Triglochin_maritima_Chloroplast	-	-	7.550	-	1.270	-	1.224	1.167
Triglochin_maritima_Chromosome	-	-	0.999	0.980	1.003	1.012	1.007	1.045
Triglochin_maritima_Mitochondrion	-	-	4.364	-	-	-	-	1.003
Vaccinium_myrtillus_Chromosome	-	-	0.999	-	1.000	0.999	1.161	1.068
Veronica_serpyllifolia_Chloroplast	1.000	-	1.000	-	1.265	-	-	0.996
Veronica_serpyllifolia_Chromosome	1.000	-	1.124	-	1.310	1.000	1.094	1.005
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	2.289	1.000
