Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Myrica_gale_Mitochondrion	-	-	1147.45	1507.09	2472.09	-	2031.53	1948.57
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	918.64	1056.28	1024.64	839.35	1188.77	1389.01	1398.60	733.33
Populus_tremula_Chloroplast	941.66	1132.01	834.61	736.07	1151.01	1371.38	1315.25	641.42
Populus_tremula_Chromosome	350.88	1070.88	2168.82	2523.33	2668.47	2823.23	2851.60	2850.17
Populus_tremula_Mitochondrion	-	1089.92	1042.18	1049.26	1918.98	-	670.17	946.72
Populus_trichocarpa_Chloroplast	1006.31	1069.44	843.85	1165.29	1247.45	1375.14	1340.48	685.49
Populus_trichocarpa_Chromosome	1141.89	1577.91	1203.33	1094.93	1467.41	1450.77	1010.44	1499.66
Salix_caprea_Chloroplast	568.87	839.48	181.49	278.94	396.58	557.22	300.57	68.87
Salix_caprea_Chromosome	561.80	1276.60	822.61	1085.48	1023.32	1770.91	1261.60	1450.53
Salix_caprea_Mitochondrion	-	-	866.10	906.49	3225.81	0.00	156.13	222.86
Salix_reticulata_Chloroplast	541.15	846.00	174.37	258.34	395.40	550.10	270.52	57.26
Salix_reticulata_Chromosome	408.12	880.81	668.72	970.44	1900.91	1654.77	1235.04	1380.99
Salix_reticulata_Mitochondrion	-	-	850.28	973.38	3225.81	0.00	141.66	218.98
Scirpus_sylvaticus_Chromosome	3344.48	-	3294.57	4665.63	3591.38	3052.33	3182.35	2438.51
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	4612.85	-	2961.28	2036.20
Solanum_tuberosum_Chloroplast	-	-	3378.38	-	3113.65	3125.00	-	1567.71
Trifolium_pratense_Mitochondrion	-	-	720.72	318.98	-	-	2837.84	2256.14
Triglochin_maritima_Chloroplast	-	-	4000.00	-	4744.14	-	0.00	1478.80
Triglochin_maritima_Chromosome	-	-	1664.07	1680.67	3309.43	1377.95	1975.47	2238.70
Triglochin_maritima_Mitochondrion	-	-	4046.24	-	-	-	-	4336.04
Vaccinium_myrtillus_Chromosome	-	-	3224.04	-	3767.82	3663.00	3132.45	2497.87
Veronica_serpyllifolia_Chloroplast	1281.23	-	5000.00	-	3957.50	-	-	1448.11
Veronica_serpyllifolia_Chromosome	3139.96	-	3157.89	-	3959.31	3370.22	3206.78	2526.38
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	4568.53	2702.70
