Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Chamaenerion_angustifolium_Chromosome	-	-	0.001	-	0.001	0.001	0.001	0.000
Chamaenerion_angustifolium_Mitochondrion	-	-	0.112	0.141	0.024	-	0.381	0.584
Citrus_sinensis_Chloroplast	2.557	-	0.064	0.332	2.807	-	0.168	1.830
Citrus_sinensis_Chromosome	0.002	-	0.002	-	0.000	0.001	0.002	0.000
Citrus_sinensis_Mitochondrion	0.243	-	0.160	0.083	0.377	-	0.200	0.413
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	0.000	-	0.000	-	-	0.000	0.000	0.000
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	7.729	8.420	53.449	44.169	46.060	42.435	71.547	76.820
Dryas_octopetala_Chromosome	0.003	0.004	0.064	0.099	0.013	0.033	0.463	0.652
Dryas_octopetala_Mitochondrion	-	-	8.845	14.430	0.144	0.191	67.970	69.979
Eleocharis_quinqueflora_Chloroplast	-	-	0.045	-	0.832	-	0.222	0.532
Eleocharis_quinqueflora_Chromosome	0.001	-	0.001	0.000	0.000	0.001	0.001	0.000
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	-	-	0.011	0.043
Eriophorum_vaginatum_Chromosome	0.001	-	0.001	0.000	0.000	0.001	0.001	0.002
Eriophorum_vaginatum_Mitochondrion	-	-	0.006	-	0.038	-	0.019	0.123
Hydra_vulgaris_Chromosome	0.000	-	0.000	-	-	0.000	0.000	-
Ipomoea_triloba_Chloroplast	-	-	0.172	-	2.234	-	-	1.115
Ipomoea_triloba_Chromosome	0.002	-	0.002	0.000	0.001	0.001	0.002	0.001
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	0.001	-	0.001	0.000	0.000	0.001	0.001	0.000
Matricaria_discoidea_Chloroplast	2.734	-	0.092	-	2.596	-	-	1.952
Matricaria_discoidea_Chromosome	0.000	-	0.000	-	0.000	0.000	0.000	0.000
Matricaria_discoidea_Mitochondrion	-	-	0.414	0.983	-	-	0.134	0.401
Mentha_aquatica_Chromosome	0.000	-	0.000	-	0.000	-	0.000	0.000
Mentha_aquatica_Mitochondrion	-	-	-	-	0.138	-	0.062	0.292
Myrica_gale_Chloroplast	2.872	-	0.983	1.219	3.190	-	0.686	1.883
Myrica_gale_Chromosome	-	-	0.000	0.000	0.000	-	0.000	0.000
Myrica_gale_Mitochondrion	-	-	0.358	0.928	0.516	-	0.678	1.023
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	10.138	16.728	16.000	10.868	20.444	14.925	17.696	8.351
Populus_tremula_Chloroplast	9.710	14.347	13.407	9.121	17.610	15.573	18.863	6.280
Populus_tremula_Chromosome	0.000	0.000	0.000	0.001	0.002	0.001	0.004	0.007
Populus_tremula_Mitochondrion	-	0.094	0.772	1.436	0.180	-	6.515	7.727
Populus_trichocarpa_Chloroplast	10.188	16.673	15.848	12.132	19.960	15.374	20.190	7.060
Populus_trichocarpa_Chromosome	0.002	0.004	0.008	0.007	0.005	0.005	0.019	0.020
Salix_caprea_Chloroplast	19.547	30.856	66.579	47.467	64.182	61.366	77.199	74.661
Salix_caprea_Chromosome	0.000	0.001	0.026	0.039	0.004	0.006	0.141	0.209
Salix_caprea_Mitochondrion	-	-	1.448	2.767	0.015	0.012	34.666	37.094
Salix_reticulata_Chloroplast	20.678	31.470	65.647	47.545	66.195	62.427	80.113	77.493
Salix_reticulata_Chromosome	0.002	0.002	0.030	0.045	0.003	0.008	0.152	0.237
Salix_reticulata_Mitochondrion	-	-	1.262	2.827	0.014	0.012	32.709	35.502
Scirpus_sylvaticus_Chromosome	0.001	-	0.001	0.000	0.000	0.001	0.002	0.001
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	0.029	-	0.021	0.042
Solanum_tuberosum_Chloroplast	-	-	0.286	-	2.482	0.062	-	1.931
Trifolium_pratense_Mitochondrion	-	-	0.184	0.415	-	-	0.490	0.499
Triglochin_maritima_Chloroplast	-	-	0.064	-	2.406	-	0.451	1.951
Triglochin_maritima_Chromosome	-	-	0.000	0.000	0.000	0.000	0.001	0.003
Triglochin_maritima_Mitochondrion	-	-	0.043	-	-	-	-	0.278
Vaccinium_myrtillus_Chromosome	-	-	0.001	-	0.000	0.001	0.001	0.001
Veronica_serpyllifolia_Chloroplast	1.034	-	0.093	-	2.495	-	-	0.824
Veronica_serpyllifolia_Chromosome	0.001	-	0.001	-	0.001	0.001	0.001	0.001
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	0.118	0.244
